"항목코드","분류","항목","판단기준","결과","점검내용","진단대상","진단대상IP","중요도","점검파일"
"U-01","계정 관리","root 계정 원격 접속 제한","양호 : 원격터미널 서비스를 사용하지 않거나, 사용 시 root 직접 접속을 차단한 경우 | 취약 : 원격터미널 서비스 사용 시 root 직접 접속을 허용한 경우","양호","sshd_config: PermitRootLogin No | Telnet 서비스: 비활성(미설치/미사용)","Linux(amzn)","10.0.9.57","상","/etc/ssh/sshd_config"
"U-02","계정 관리","비밀번호 관리정책 설정","양호 : 비밀번호 관리 정책이 설정된 경우 | 취약 : 비밀번호 관리 정책이 설정되지 않은 경우","양호","# /etc/login.defs | PASS_MAX_DAYS 90 | PASS_MIN_DAYS 0 | # /etc/security/pwquality.conf | minlen = 8 | dcredit = -1 | ucredit = -1 | lcredit = -1 | ocredit = -1 | enforce_for_root | # /etc/pam.d/system-auth | auth sufficient pam_unix.so try_first_pass nullok | account required pam_unix.so | password requisite pam_pwquality.so try_first_pass local_users_only retry=3 authtok_type= | password required pam_pwhistory.so use_authtok remember=4 enforce_for_root | password sufficient pam_unix.so try_first_pass use_authtok nullok sha512 shadow | session required pam_unix.so | # /etc/security/pwhistory.conf | enforce_for_root | remember=4","Linux(amzn)","10.0.9.57","상","/etc/login.defs | /etc/security/pwquality.conf | /etc/pam.d/system-auth | /etc/security/pwhistory.conf"
"U-03","계정 관리","계정 잠금 임계값 설정","양호 : 계정 잠금 임계값이 10회 이하의 값으로 설정된 경우 | 취약 : 계정 잠금 임계값이 설정되어 있지 않거나, 10회 이하의 값으로 설정되지 않은 경우","양호","auth        required      pam_faillock.so preauth silent audit deny=10 unlock_time=120 | auth        [default=die] pam_faillock.so authfail audit deny=10 unlock_time=120 | account     required      pam_faillock.so | auth        required      pam_faillock.so preauth silent audit deny=10 unlock_time=120 | auth        [default=die] pam_faillock.so authfail audit deny=10 unlock_time=120 | account     required      pam_faillock.so","Linux(amzn)","10.0.9.57","상","/etc/pam.d"
"U-04","계정 관리","비밀번호 파일 보호","양호 : 쉐도우 비밀번호를 사용하거나, 비밀번호를 암호화하여 저장하는 경우 | 취약 : 쉐도우 비밀번호를 사용하지 않고, 비밀번호를 암호화하여 저장하지 않는 경우","양호","# /etc/passwd 평문 암호필드(2번째 비-x) 계정: 없음 | # /etc/shadow (해시 노출 방지 — 내용 미수록, 존재·권한만) | ---------- (0) root:root  /etc/shadow","Linux(amzn)","10.0.9.57","상","/etc/passwd | /etc/shadow"
"U-05","계정 관리","root 이외의 UID '0' 금지","양호 : root 계정과 동일한 UID를 갖는 계정이 존재하지 않는 경우 | 취약 : root 계정과 동일한 UID를 갖는 계정이 존재하는 경우","양호","UID 0 계정: root","Linux(amzn)","10.0.9.57","상","/etc/passwd"
"U-06","계정 관리","사용자 계정 su 기능 제한","양호 : su 명령어를 특정 그룹에 속한 사용자만 사용하도록 제한된 경우 | 취약 : su 명령어를 모든 사용자가 사용하도록 설정된 경우","양호","# /etc/pam.d/su | auth		required	pam_wheel.so use_uid | # /etc/group (su 허용 그룹 'wheel' 멤버) | wheel:x:10:ec2-user","Linux(amzn)","10.0.9.57","하","/etc/pam.d/su | /etc/group"
"U-07","계정 관리","불필요한 계정 제거","양호 : 불필요한 계정이 존재하지 않는 경우 | 취약 : 불필요한 계정이 존재하는 경우","양호","# 불필요(권고 제거) 후보 매칭: 없음 | # 전체 계정 목록 (불필요 계정 식별용 — 사전목록 외도 검토) | root (uid=0, shell=/bin/bash) | bin (uid=1, shell=/sbin/nologin) | daemon (uid=2, shell=/sbin/nologin) | adm (uid=3, shell=/sbin/nologin) | sync (uid=5, shell=/sbin/nologin) | shutdown (uid=6, shell=/sbin/nologin) | halt (uid=7, shell=/sbin/nologin) | mail (uid=8, shell=/sbin/nologin) | operator (uid=11, shell=/sbin/nologin) | nobody (uid=65534, shell=/sbin/nologin) | dbus (uid=81, shell=/sbin/nologin) | systemd-network (uid=192, shell=/usr/sbin/nologin) | systemd-oom (uid=998, shell=/usr/sbin/nologin) | systemd-resolve (uid=193, shell=/usr/sbin/nologin) | rpc (uid=32, shell=/sbin/nologin) | libstoragemgmt (uid=997, shell=/usr/sbin/nologin) | systemd-coredump (uid=996, shell=/usr/sbin/nologin) | systemd-timesync (uid=995, shell=/usr/sbin/nologin) | sshd (uid=74, shell=/sbin/nologin) | chrony (uid=994, shell=/sbin/nologin) | ec2-instance-connect (uid=993, shell=/sbin/nologin) | stapunpriv (uid=159, shell=/sbin/nologin) | rpcuser (uid=29, shell=/sbin/nologin) | tcpdump (uid=72, shell=/sbin/nologin) | ec2-user (uid=1000, shell=/bin/bash)","Linux(amzn)","10.0.9.57","하","/etc/passwd"
"U-08","계정 관리","관리자 그룹에 최소한의 계정 포함","양호 : 관리자 그룹에 불필요한 계정이 등록되어 있지 않은 경우 | 취약 : 관리자 그룹에 불필요한 계정이 등록된 경우","양호","root 그룹(gid 0) 멤버: 없음","Linux(amzn)","10.0.9.57","중","/etc/group"
"U-09","계정 관리","계정이 존재하지 않는 GID 금지","양호 : 시스템 관리나 운용에 불필요한 그룹이 제거된 경우 | 취약 : 시스템 관리나 운용에 불필요한 그룹이 존재하는 경우","양호","# 불필요(권고 제거) 후보 매칭: 없음 | # 전체 그룹 목록 (불필요 그룹 식별용) | root (gid=0, 멤버=) | bin (gid=1, 멤버=) | daemon (gid=2, 멤버=) | sys (gid=3, 멤버=) | adm (gid=4, 멤버=ec2-user) | tty (gid=5, 멤버=) | disk (gid=6, 멤버=) | mem (gid=8, 멤버=) | kmem (gid=9, 멤버=) | wheel (gid=10, 멤버=ec2-user) | mail (gid=12, 멤버=) | man (gid=15, 멤버=) | video (gid=39, 멤버=) | lock (gid=54, 멤버=) | audio (gid=63, 멤버=) | users (gid=100, 멤버=) | nobody (gid=65534, 멤버=) | utmp (gid=22, 멤버=) | utempter (gid=35, 멤버=) | dbus (gid=81, 멤버=) | ssh_keys (gid=999, 멤버=) | input (gid=104, 멤버=) | kvm (gid=36, 멤버=) | render (gid=105, 멤버=) | sgx (gid=106, 멤버=) | systemd-journal (gid=190, 멤버=ec2-user) | systemd-network (gid=192, 멤버=) | systemd-oom (gid=998, 멤버=) | systemd-resolve (gid=193, 멤버=) | rpc (gid=32, 멤버=) | libstoragemgmt (gid=997, 멤버=) | systemd-coredump (gid=996, 멤버=) | systemd-timesync (gid=995, 멤버=) | sshd (gid=74, 멤버=) | chrony (gid=994, 멤버=) | ec2-instance-connect (gid=993, 멤버=) | stapusr (gid=156, 멤버=) | stapsys (gid=157, 멤버=) | stapdev (gid=158, 멤버=) | stapunpriv (gid=159, 멤버=stapunpriv) | rpcuser (gid=29, 멤버=) | tcpdump (gid=72, 멤버=) | screen (gid=84, 멤버=) | ec2-user (gid=1000, 멤버=)","Linux(amzn)","10.0.9.57","하","/etc/group"
"U-10","계정 관리","동일한 UID 금지","양호 : 동일한 UID로 설정된 사용자 계정이 존재하지 않는 경우 | 취약 : 동일한 UID로 설정된 사용자 계정이 존재하는 경우","양호","# 중복 UID: 없음 | # 전체 계정(UID: 계정명) | 0: root | 1: bin | 2: daemon | 3: adm | 5: sync | 6: shutdown | 7: halt | 8: mail | 11: operator | 29: rpcuser | 32: rpc | 72: tcpdump | 74: sshd | 81: dbus | 159: stapunpriv | 192: systemd-network | 193: systemd-resolve | 993: ec2-instance-connect | 994: chrony | 995: systemd-timesync | 996: systemd-coredump | 997: libstoragemgmt | 998: systemd-oom | 1000: ec2-user | 65534: nobody","Linux(amzn)","10.0.9.57","중","/etc/passwd"
