"항목코드","분류","항목","판단기준","결과","점검내용","진단대상","진단대상IP","중요도","점검파일"
"U-01","계정 관리","root 계정 원격 접속 제한","양호 : 원격터미널 서비스를 사용하지 않거나, 사용 시 root 직접 접속을 차단한 경우 | 취약 : 원격터미널 서비스 사용 시 root 직접 접속을 허용한 경우","양호","sshd_config: (PermitRootLogin 미설정 → 기본 prohibit-password) | Telnet 서비스: 비활성(미설치/미사용)","Linux(ubuntu)","10.0.14.88","상","/etc/ssh/sshd_config"
"U-02","계정 관리","비밀번호 관리정책 설정","양호 : 비밀번호 관리 정책이 설정된 경우 | 취약 : 비밀번호 관리 정책이 설정되지 않은 경우","취약","# /etc/login.defs | PASS_MAX_DAYS 99999 | PASS_MIN_DAYS 0 | # /etc/security/pwquality.conf | (활성 복잡도 설정 없음) | # /etc/pam.d/common-password | password [success=1 default=ignore] pam_unix.so obscure yescrypt | # /etc/security/pwhistory.conf | (활성 재사용제한 설정 없음 — PAM 인라인 remember 또는 미설정)","Linux(ubuntu)","10.0.14.88","상","/etc/login.defs | /etc/security/pwquality.conf | /etc/pam.d/common-password | /etc/security/pwhistory.conf"
"U-03","계정 관리","계정 잠금 임계값 설정","양호 : 계정 잠금 임계값이 10회 이하의 값으로 설정된 경우 | 취약 : 계정 잠금 임계값이 설정되어 있지 않거나, 10회 이하의 값으로 설정되지 않은 경우","취약","pam_faillock/pam_tally2 설정 없음","Linux(ubuntu)","10.0.14.88","상","/etc/pam.d"
"U-04","계정 관리","비밀번호 파일 보호","양호 : 쉐도우 비밀번호를 사용하거나, 비밀번호를 암호화하여 저장하는 경우 | 취약 : 쉐도우 비밀번호를 사용하지 않고, 비밀번호를 암호화하여 저장하지 않는 경우","양호","# /etc/passwd 평문 암호필드(2번째 비-x) 계정: 없음 | # /etc/shadow (해시 노출 방지 — 내용 미수록, 존재·권한만) | -rw-r----- (640) root:shadow  /etc/shadow","Linux(ubuntu)","10.0.14.88","상","/etc/passwd | /etc/shadow"
"U-05","계정 관리","root 이외의 UID '0' 금지","양호 : root 계정과 동일한 UID를 갖는 계정이 존재하지 않는 경우 | 취약 : root 계정과 동일한 UID를 갖는 계정이 존재하는 경우","양호","UID 0 계정: root","Linux(ubuntu)","10.0.14.88","상","/etc/passwd"
"U-06","계정 관리","사용자 계정 su 기능 제한","양호 : su 명령어를 특정 그룹에 속한 사용자만 사용하도록 제한된 경우 | 취약 : su 명령어를 모든 사용자가 사용하도록 설정된 경우","취약","# /etc/pam.d/su | (pam_wheel 미설정) | # /etc/group (su 허용 그룹 'wheel' 멤버) | sudo:x:27:ubuntu","Linux(ubuntu)","10.0.14.88","하","/etc/pam.d/su | /etc/group"
"U-07","계정 관리","불필요한 계정 제거","양호 : 불필요한 계정이 존재하지 않는 경우 | 취약 : 불필요한 계정이 존재하는 경우","취약","# 불필요(권고 제거) 후보 매칭: games news lp uucp | # 전체 계정 목록 (불필요 계정 식별용 — 사전목록 외도 검토) | root (uid=0, shell=/bin/bash) | daemon (uid=1, shell=/usr/sbin/nologin) | bin (uid=2, shell=/usr/sbin/nologin) | sys (uid=3, shell=/usr/sbin/nologin) | sync (uid=4, shell=/bin/sync) | games (uid=5, shell=/usr/sbin/nologin) | man (uid=6, shell=/usr/sbin/nologin) | lp (uid=7, shell=/usr/sbin/nologin) | mail (uid=8, shell=/usr/sbin/nologin) | news (uid=9, shell=/usr/sbin/nologin) | uucp (uid=10, shell=/usr/sbin/nologin) | proxy (uid=13, shell=/usr/sbin/nologin) | www-data (uid=33, shell=/usr/sbin/nologin) | backup (uid=34, shell=/usr/sbin/nologin) | list (uid=38, shell=/usr/sbin/nologin) | irc (uid=39, shell=/usr/sbin/nologin) | _apt (uid=42, shell=/usr/sbin/nologin) | nobody (uid=65534, shell=/usr/sbin/nologin) | systemd-network (uid=998, shell=/usr/sbin/nologin) | dhcpcd (uid=996, shell=/bin/false) | messagebus (uid=995, shell=/usr/sbin/nologin) | syslog (uid=100, shell=/usr/sbin/nologin) | systemd-resolve (uid=989, shell=/usr/sbin/nologin) | _chrony (uid=988, shell=/usr/sbin/nologin) | tss (uid=987, shell=/usr/sbin/nologin) | uuidd (uid=101, shell=/usr/sbin/nologin) | sshd (uid=986, shell=/usr/sbin/nologin) | pollinate (uid=102, shell=/bin/false) | tcpdump (uid=985, shell=/usr/sbin/nologin) | landscape (uid=103, shell=/usr/sbin/nologin) | fwupd-refresh (uid=984, shell=/usr/sbin/nologin) | polkitd (uid=983, shell=/usr/sbin/nologin) | ec2-instance-connect (uid=104, shell=/usr/sbin/nologin) | ubuntu (uid=1000, shell=/bin/bash)","Linux(ubuntu)","10.0.14.88","하","/etc/passwd"
"U-08","계정 관리","관리자 그룹에 최소한의 계정 포함","양호 : 관리자 그룹에 불필요한 계정이 등록되어 있지 않은 경우 | 취약 : 관리자 그룹에 불필요한 계정이 등록된 경우","양호","root 그룹(gid 0) 멤버: 없음","Linux(ubuntu)","10.0.14.88","중","/etc/group"
"U-09","계정 관리","계정이 존재하지 않는 GID 금지","양호 : 시스템 관리나 운용에 불필요한 그룹이 제거된 경우 | 취약 : 시스템 관리나 운용에 불필요한 그룹이 존재하는 경우","취약","# 불필요(권고 제거) 후보 매칭: floppy tape cdrom dialout games lp news uucp | # 전체 그룹 목록 (불필요 그룹 식별용) | root (gid=0, 멤버=) | daemon (gid=1, 멤버=) | bin (gid=2, 멤버=) | sys (gid=3, 멤버=) | adm (gid=4, 멤버=syslog,ubuntu) | tty (gid=5, 멤버=) | disk (gid=6, 멤버=) | lp (gid=7, 멤버=) | mail (gid=8, 멤버=) | news (gid=9, 멤버=) | uucp (gid=10, 멤버=) | man (gid=12, 멤버=) | proxy (gid=13, 멤버=) | kmem (gid=15, 멤버=) | dialout (gid=20, 멤버=) | fax (gid=21, 멤버=) | voice (gid=22, 멤버=) | cdrom (gid=24, 멤버=ubuntu) | floppy (gid=25, 멤버=) | tape (gid=26, 멤버=) | sudo (gid=27, 멤버=ubuntu) | audio (gid=29, 멤버=) | dip (gid=30, 멤버=ubuntu) | www-data (gid=33, 멤버=) | backup (gid=34, 멤버=) | operator (gid=37, 멤버=) | list (gid=38, 멤버=) | irc (gid=39, 멤버=) | src (gid=40, 멤버=) | shadow (gid=42, 멤버=) | utmp (gid=43, 멤버=) | video (gid=44, 멤버=) | sasl (gid=45, 멤버=) | plugdev (gid=46, 멤버=) | staff (gid=50, 멤버=) | games (gid=60, 멤버=) | users (gid=100, 멤버=) | nogroup (gid=65534, 멤버=) | systemd-journal (gid=999, 멤버=) | systemd-network (gid=998, 멤버=) | crontab (gid=997, 멤버=) | dhcpcd (gid=996, 멤버=) | messagebus (gid=995, 멤버=) | syslog (gid=101, 멤버=) | input (gid=994, 멤버=) | sgx (gid=993, 멤버=) | clock (gid=992, 멤버=) | kvm (gid=991, 멤버=) | render (gid=990, 멤버=) | systemd-resolve (gid=989, 멤버=) | _chrony (gid=988, 멤버=) | tss (gid=987, 멤버=) | lxd (gid=102, 멤버=ubuntu) | uuidd (gid=103, 멤버=) | _ssh (gid=104, 멤버=) | rdma (gid=105, 멤버=) | tcpdump (gid=985, 멤버=) | landscape (gid=106, 멤버=) | fwupd-refresh (gid=984, 멤버=) | polkitd (gid=983, 멤버=) | admin (gid=107, 멤버=) | netdev (gid=108, 멤버=) | ubuntu (gid=1000, 멤버=) | ssl-cert (gid=109, 멤버=)","Linux(ubuntu)","10.0.14.88","하","/etc/group"
"U-10","계정 관리","동일한 UID 금지","양호 : 동일한 UID로 설정된 사용자 계정이 존재하지 않는 경우 | 취약 : 동일한 UID로 설정된 사용자 계정이 존재하는 경우","양호","# 중복 UID: 없음 | # 전체 계정(UID: 계정명) | 0: root | 1: daemon | 2: bin | 3: sys | 4: sync | 5: games | 6: man | 7: lp | 8: mail | 9: news | 10: uucp | 13: proxy | 33: www-data | 34: backup | 38: list | 39: irc | 42: _apt | 100: syslog | 101: uuidd | 102: pollinate | 103: landscape | 104: ec2-instance-connect | 983: polkitd | 984: fwupd-refresh | 985: tcpdump | 986: sshd | 987: tss | 988: _chrony | 989: systemd-resolve | 995: messagebus | 996: dhcpcd | 998: systemd-network | 1000: ubuntu | 65534: nobody","Linux(ubuntu)","10.0.14.88","중","/etc/passwd"
